Name,Season,G,GS,GS/G,IP,ERA,Zone%,GB%,K%,BB%
"Moronta, Reyes",2019,56,0,0,56.2,2.86,40.20%,37.40%,28.50%,13.40%
"Hughes, Brandon",2022,57,0,0,57.2,3.12,40.20%,33.80%,28.50%,8.80%
"Payamps, Joel",2022,41,0,0,55.2,3.23,40.20%,52.80%,17.00%,6.60%
"Parker, Blake",2018,67,0,0,66.1,3.26,40.20%,33.70%,25.40%,6.90%
"Mayza, Tim",2021,61,0,0,53,3.4,40.20%,58.80%,27.10%,5.70%
"Watson, Tony",2021,62,0,0,57.1,3.92,40.20%,45.60%,19.60%,8.00%
"Alcántara, Victor",2019,46,0,0,42.2,4.85,40.20%,53.60%,13.20%,8.20%
"Holmes, Clay",2019,35,0,0,50,5.58,40.20%,60.30%,23.30%,15.00%
"Tomlin, Josh",2021,35,0,0,49.1,6.57,40.20%,33.30%,17.00%,2.30%
"Bummer, Aaron",2023,61,0,0,58.1,6.79,40.20%,58.20%,29.20%,13.50%
"Díaz, Edwin",2022,61,0,0,62,1.31,40.10%,46.90%,50.20%,7.70%
"Chafin, Andrew",2021,71,0,0,68.2,1.83,40.10%,44.90%,24.10%,7.10%
"Ginkel, Kevin",2023,60,0,0,65.1,2.48,40.10%,50.30%,27.60%,9.10%
"Doval, Camilo",2022,68,0,0,67.2,2.53,40.10%,56.40%,28.00%,10.50%
"Melancon, Mark",2019,66,0,0,67.1,3.61,40.10%,62.10%,23.90%,6.30%
"Bradley, Archie",2021,53,0,0,51,3.71,40.10%,55.70%,17.90%,9.80%
"Smith, Will",2023,60,0,0,57.1,4.4,40.10%,29.60%,24.30%,7.50%
"Pagán, Emilio",2022,59,0,0,63,4.43,40.10%,40.40%,30.70%,9.50%
"Cabrera, Génesis",2022,39,0,0,44.2,4.63,40.10%,44.20%,16.50%,10.30%
"Petit, Yusmeiro",2019,80,0,0,83,2.71,40.00%,29.90%,23.10%,3.20%
"Coleman, Dylan",2022,68,0,0,68,2.78,40.00%,41.40%,24.60%,12.80%
"Parker, Blake",2021,47,0,0,43.2,3.09,40.00%,38.60%,20.00%,7.60%
"Smith, Will",2022,65,0,0,59,3.97,40.00%,35.20%,24.90%,9.60%
"Scott, Tanner",2018,53,0,0,53.1,5.4,40.00%,47.30%,31.70%,11.70%
"Edwards Jr., Carl",2022,57,0,0,62,2.76,39.90%,47.70%,21.90%,9.80%
"Kolarek, Adam",2019,80,0,0,55,3.27,39.90%,66.30%,19.70%,7.00%
"Shaw, Bryan",2021,81,0,0,77.1,3.49,39.90%,45.50%,21.30%,11.40%
"Maton, Phil",2022,67,0,0,65.2,3.84,39.90%,38.20%,26.00%,8.50%
"Gallegos, Giovanny",2023,56,0,0,55,4.42,39.90%,35.30%,25.80%,5.20%
"Devenski, Chris",2023,38,0,0,42.1,4.46,39.90%,39.30%,24.30%,6.40%
"Brennan, Brandon",2019,44,0,0,47.1,4.56,39.90%,55.20%,24.00%,12.20%
"Almonte, Yency",2023,49,0,0,48,5.06,39.90%,42.00%,23.60%,11.50%
"Barnes, Danny",2018,47,0,0,41,5.71,39.90%,35.20%,19.90%,11.50%
"Shaw, Bryan",2018,61,0,0,54.2,5.93,39.90%,48.50%,21.00%,10.90%
"Bautista, Félix",2023,56,0,0,61,1.48,39.80%,35.70%,46.40%,11.00%
"Jackson, Luke",2021,71,0,0,63.2,1.98,39.80%,52.50%,26.80%,11.10%
"Hirano, Yoshihisa",2018,75,0,0,66.1,2.44,39.80%,50.30%,22.50%,8.80%
"Duffey, Tyler",2021,64,0,0,62.1,3.18,39.80%,46.00%,24.00%,11.00%
"Gott, Trevor",2022,45,0,0,45.2,4.14,39.80%,43.70%,23.70%,6.50%
"Doval, Camilo",2023,69,0,0,67.2,2.93,39.70%,52.20%,31.00%,9.30%
"Domínguez, Seranthony",2022,54,0,0,51,3,39.70%,48.00%,29.50%,10.60%
"Gallegos, Giovanny",2021,73,0,0,80.1,3.02,39.70%,33.00%,30.60%,6.50%
"Schreiber, John",2022,64,0,0,65,2.22,39.60%,56.30%,28.80%,7.40%
"Edwards Jr., Carl",2018,58,0,0,52,2.6,39.60%,28.90%,30.20%,14.40%
"Lorenzen, Michael",2019,73,0,0,83.1,2.92,39.60%,44.40%,24.80%,8.20%
"Cishek, Steve",2022,69,0,0,66.1,4.21,39.60%,41.20%,25.80%,9.40%
"Díaz, Alexis",2022,59,0,0,63.2,1.84,39.50%,30.30%,32.50%,12.90%
"De Jong, Chase",2022,42,0,0,71.2,2.64,39.50%,33.50%,20.10%,10.20%
"Raley, Brooks",2022,60,0,0,53.2,2.68,39.50%,37.50%,27.90%,6.80%
"Robertson, David",2018,69,0,0,69.2,3.23,39.50%,45.30%,32.20%,9.20%
"Erceg, Lucas",2023,50,0,0,55,4.75,39.50%,46.10%,27.10%,14.30%
"Marte, Yunior",2022,39,0,0,48,5.44,39.50%,48.60%,20.60%,10.30%
"Valdez, Phillips",2021,28,0,0,40,5.85,39.50%,57.90%,19.80%,10.70%
"Stratton, Chris",2021,68,0,0,79.1,3.63,39.40%,41.40%,25.50%,9.80%
"Quijada, José",2022,42,0,0,40.2,3.98,39.40%,33.00%,30.80%,12.40%
"Scott, Tanner",2022,67,0,0,62.2,4.31,39.40%,46.30%,31.10%,15.90%
"Holland, Greg",2021,57,0,0,55.2,4.85,39.40%,41.60%,21.80%,10.70%
"Anderson, Justin",2019,54,0,0,47,5.55,39.40%,35.20%,27.60%,14.70%
"Mayza, Tim",2023,69,0,0,53.1,1.52,39.30%,58.20%,24.70%,7.00%
"Chargois, JT",2021,56,0,0,53.2,2.52,39.30%,44.50%,24.50%,9.30%
"Cishek, Steve",2019,70,0,0,64,2.95,39.30%,50.00%,21.30%,10.90%
"Stephan, Trevor",2023,71,0,0,68.2,4.06,39.30%,41.60%,25.50%,8.80%
"Farmer, Buck",2023,71,0,0,75,4.2,39.30%,33.30%,22.70%,9.40%
"Sims, Lucas",2021,47,0,0,47,4.4,39.30%,26.30%,39.00%,9.20%
"Castro, Miguel",2019,65,0,0,73.1,4.66,39.30%,48.80%,22.30%,12.90%
"Sandlin, Nick",2022,46,0,0,44,2.25,39.20%,55.90%,22.80%,13.30%
"Minaya, Juan",2021,29,0,0,40,2.48,39.20%,53.00%,25.70%,12.00%
"Castillo, Diego",2021,61,0,0,58.1,2.78,39.20%,49.20%,32.20%,7.30%
"Leiter Jr., Mark",2023,69,0,0,64.1,3.5,39.20%,45.30%,28.60%,8.90%
"Saucedo, Tayler",2023,52,0,0,47.2,3.59,39.20%,58.50%,20.80%,11.10%
"de Geus, Brett",2021,47,0,0,50,7.56,39.20%,52.10%,17.20%,10.50%
"Báez, Pedro",2019,71,0,0,69.2,3.1,39.10%,34.50%,25.00%,8.30%
"Springs, Jeffrey",2021,43,0,0,44.2,3.43,39.10%,34.30%,35.20%,7.80%
"Neris, Héctor",2021,74,0,0,74.1,3.63,39.10%,47.10%,31.60%,10.30%
"Gilbreath, Lucas",2022,47,0,0,43,4.19,39.10%,46.70%,26.20%,13.90%
"McHugh, Collin",2022,58,0,0,69.1,2.6,39.00%,39.90%,27.60%,5.10%
"Raley, Brooks",2023,66,0,0,54.2,2.8,39.00%,43.00%,25.80%,10.60%
"Taylor, Blake",2021,51,0,0,42.2,3.16,39.00%,40.70%,21.80%,11.70%
"Knebel, Corey",2022,46,0,0,44.2,3.43,39.00%,39.30%,21.10%,14.40%
"Matzek, Tyler",2022,42,0,0,43.2,3.5,39.00%,33.00%,19.60%,15.80%
"Brewer, Colten",2019,58,0,0,54.2,4.12,39.00%,50.30%,20.60%,13.40%
"Strop, Pedro",2018,60,0,0,59.2,2.26,38.90%,46.10%,23.80%,8.80%
"Sims, Lucas",2023,67,0,0,61,3.1,38.90%,23.10%,27.90%,15.10%
"Graveman, Kendall",2022,65,0,0,65,3.18,38.90%,54.00%,23.20%,9.10%
"Familia, Jeurys",2022,48,0,0,44.1,6.09,38.90%,47.80%,20.10%,10.80%
"Muñoz, Andrés",2022,64,0,0,65,2.49,38.80%,52.60%,38.70%,6.00%
"Rainey, Tanner",2019,52,0,0,48.1,3.91,38.80%,52.60%,34.60%,17.80%
"Anderson, Justin",2018,57,0,0,55.1,4.07,38.80%,50.80%,27.80%,16.60%
"Barlow, Scott",2019,61,0,0,70.1,4.22,38.80%,40.00%,29.70%,11.90%
"Bickford, Phil",2023,61,0,0,67.1,4.95,38.80%,27.90%,25.00%,12.80%
"Hader, Josh",2022,56,0,0,50,5.22,38.80%,29.20%,37.00%,9.60%
"Brash, Matt",2023,78,0,0,70.2,3.06,38.70%,46.10%,34.70%,9.40%
"Trivino, Lou",2022,64,0,0,53.2,4.53,38.70%,52.60%,26.80%,9.60%
"Moran, Jovani",2023,43,0,0,42.1,5.31,38.70%,41.90%,26.10%,14.70%
"Kimbrel, Craig",2021,63,0,0,59.2,2.26,38.60%,30.30%,42.60%,9.80%
"Smith, Drew",2022,44,0,0,46,3.33,38.60%,34.50%,28.30%,8.00%
"Winkler, Dan",2018,69,0,0,60.1,3.43,38.60%,38.10%,27.10%,7.80%
"Smith, Will",2021,71,0,0,68,3.44,38.60%,31.30%,30.70%,9.90%
"King, John",2021,27,0,0,46,3.52,38.60%,57.00%,20.70%,6.20%
"Holland, Greg",2018,56,0,0,46.1,4.66,38.60%,40.00%,22.20%,15.10%
"Rucker, Michael",2022,41,0,0,54.2,3.95,38.50%,43.40%,21.80%,8.70%
"Díaz, Alexis",2023,71,0,0,67.1,3.07,38.40%,38.00%,30.10%,12.60%
"Mayza, Tim",2022,63,0,0,48.2,3.14,38.40%,57.90%,22.80%,6.20%
"Crismatt, Nabil",2021,45,0,0,81.1,3.76,38.40%,50.60%,20.20%,6.80%
"Bañuelos, Manny",2022,35,0,0,41,4.39,38.40%,54.20%,24.00%,12.00%
"Swarzak, Anthony",2019,59,0,0,53.1,4.56,38.40%,45.80%,22.20%,11.50%
"Montero, Rafael",2023,68,0,0,67.1,5.08,38.40%,41.20%,26.50%,9.70%
"Walden, Marcus",2019,70,0,0,78,3.81,38.30%,53.50%,23.20%,9.80%
"Scott, Tanner",2021,62,0,0,54,5.17,38.30%,51.10%,27.90%,14.70%
"Bass, Anthony",2019,44,0,0,48,3.56,38.20%,51.60%,22.80%,9.00%
"Brach, Brad",2018,69,0,0,62.2,3.59,38.20%,46.00%,20.80%,9.70%
"Soriano, José",2023,38,0,0,42,3.64,38.20%,51.00%,30.30%,12.40%
"Kinley, Tyler",2019,52,0,0,49.1,3.65,38.20%,37.50%,20.80%,16.30%
"Claudio, Alex",2019,83,0,0,62,4.06,38.20%,57.40%,16.50%,9.00%
"Cessa, Luis",2019,43,0,0,81,4.11,38.20%,48.70%,21.90%,9.00%
"Duke, Zach",2018,72,0,0,52,4.15,38.20%,59.40%,21.30%,8.80%
"Maton, Phil",2018,45,0,0,47.1,4.37,38.20%,35.90%,25.70%,10.70%
"Garrett, Amir",2022,60,0,0,45.1,4.96,38.20%,38.90%,25.00%,16.30%
"Hughes, Jared",2018,72,0,0,78.2,1.94,38.10%,65.40%,19.80%,7.70%
"Stammen, Craig",2019,76,0,0,82,3.29,38.10%,50.80%,21.50%,4.40%
"Avilán, Luis",2018,70,0,0,45.1,3.77,38.10%,36.00%,25.90%,9.10%
"Jackson, Luke",2019,70,0,0,72.2,3.84,38.10%,60.50%,33.70%,8.30%
"Graveman, Kendall",2021,53,0,0,56,1.77,38.00%,54.90%,27.50%,9.00%
"Kahnle, Tommy",2023,42,0,0,40.2,2.66,38.00%,49.00%,29.10%,11.50%
"Fulmer, Michael",2022,67,0,0,63.2,3.39,38.00%,35.40%,22.10%,10.10%
"Tepera, Ryan",2018,68,0,0,64.2,3.62,38.00%,44.00%,25.90%,9.10%
"Suter, Brent",2022,54,0,0,66.2,3.78,38.00%,45.00%,19.50%,8.10%
"Abreu, Bryan",2022,55,0,0,60.1,1.94,37.90%,48.50%,35.50%,10.50%
"Reyes, Alex",2021,69,0,0,72.1,3.24,37.90%,37.00%,30.00%,16.40%
"Krehbiel, Joey",2022,56,0,0,57.2,3.9,37.90%,42.10%,18.40%,7.40%
"Rodríguez, Joely",2022,55,0,0,50.1,4.47,37.90%,53.80%,26.40%,12.00%
"Garrett, Amir",2019,69,0,0,56,3.21,37.80%,53.90%,31.70%,14.20%
"Barlow, Scott",2023,63,0,0,68,4.37,37.80%,42.90%,26.40%,11.40%
"Treinen, Blake",2019,57,0,0,58.2,4.91,37.80%,42.80%,22.20%,13.90%
"Montero, Rafael",2022,71,0,0,68.1,2.37,37.70%,52.90%,27.00%,8.50%
"Sborz, Josh",2021,63,0,0,59,3.97,37.70%,41.90%,26.80%,12.50%
"Santana, Dennis",2021,55,0,0,54.2,4.28,37.70%,50.30%,19.40%,13.50%
"Davis, Wade",2019,50,0,0,42.2,8.65,37.70%,38.30%,20.40%,14.10%
"Barlow, Scott",2022,69,0,0,74.1,2.18,37.60%,47.60%,26.60%,7.60%
"Cishek, Steve",2021,74,0,0,68.1,3.42,37.60%,49.70%,20.80%,13.30%
"Workman, Brandon",2019,73,0,0,71.2,1.88,37.50%,51.10%,36.40%,15.70%
"Williams, Devin",2021,58,0,0,54,2.5,37.50%,45.40%,38.50%,12.40%
"Barlow, Scott",2021,71,0,0,74.1,2.42,37.40%,38.90%,29.70%,9.20%
"Yates, Kirby",2023,61,0,0,60.1,3.28,37.40%,36.40%,31.50%,14.60%
"Sawamura, Hirokazu",2022,49,0,0,50.2,3.73,37.40%,50.00%,18.10%,12.20%
"Colomé, Alex",2022,53,0,0,47,5.74,37.40%,55.60%,14.90%,10.20%
"Peralta, Wily",2019,42,0,0,40.1,5.8,37.40%,45.40%,13.60%,10.80%
"Tepera, Ryan",2021,65,0,0,61.1,2.79,37.30%,44.00%,30.80%,7.90%
"Pop, Zach",2021,50,0,0,54.2,4.12,37.30%,57.60%,20.70%,9.80%
"Colomé, Alex",2021,67,0,0,65,4.15,37.30%,53.70%,20.00%,7.90%
"Neris, Héctor",2019,68,0,0,67.2,2.93,37.20%,45.50%,32.40%,8.70%
"Hader, Josh",2023,61,0,0,56.1,1.28,37.10%,35.50%,36.80%,13.00%
"Harris, Will",2018,61,0,0,56.2,3.49,37.10%,49.70%,27.80%,6.10%
"Guerra, Deolis",2021,53,0,0,65.2,4.11,37.10%,34.30%,23.00%,7.40%
"Rucker, Michael",2023,35,0,0,40.1,4.91,37.10%,51.80%,22.70%,10.80%
"Duffey, Tyler",2022,40,0,0,44,4.91,37.10%,44.60%,21.10%,8.10%
"Coulombe, Danny",2023,61,0,0,51.1,2.81,37.00%,43.70%,27.60%,5.70%
"Ziegler, Brad",2018,82,0,0,73.2,3.91,37.00%,71.10%,16.40%,8.20%
"Smith, Drew",2023,62,0,0,56.1,4.15,37.00%,30.00%,24.60%,11.90%
"Ruiz, José",2022,63,0,0,60.2,4.6,37.00%,42.10%,25.70%,12.50%
"Rodríguez, Joely",2021,52,0,0,46.1,4.66,37.00%,58.40%,22.70%,8.70%
"Brazoban, Huascar",2023,50,0,0,58.2,4.14,36.90%,51.90%,25.30%,12.10%
"Marinaccio, Ron",2023,45,0,0,47.1,3.99,36.70%,38.70%,27.30%,13.20%
"Kimbrel, Craig",2018,63,0,0,62.1,2.74,36.60%,28.20%,38.90%,12.60%
"Pressly, Ryan",2022,50,0,0,48.1,2.98,36.60%,46.10%,35.70%,7.10%
"Chafin, Andrew",2018,77,0,0,49.1,3.1,36.60%,50.40%,25.10%,11.80%
"Graveman, Kendall",2023,68,0,0,66.1,3.12,36.60%,38.70%,23.40%,12.80%
"Arano, Víctor",2022,43,0,0,42,4.5,36.60%,51.60%,23.50%,6.40%
"Musgrave, Harrison",2018,35,0,0,44.2,4.63,36.60%,38.30%,17.30%,11.90%
"Loáisiga, Jonathan",2022,50,0,0,48,4.13,36.50%,59.60%,18.20%,9.40%
"Biagini, Joe",2019,63,0,0,64.2,4.59,36.50%,46.10%,21.40%,9.30%
"Leone, Dominic",2023,51,0,0,54,4.67,36.50%,37.10%,23.00%,11.90%
"Britton, Zack",2018,41,0,0,40.2,3.1,36.40%,73.00%,20.10%,12.40%
"Suárez, Ranger",2019,37,0,0,48.2,3.14,36.40%,55.10%,20.50%,5.90%
"Strop, Pedro",2019,50,0,0,41.2,4.97,36.40%,52.90%,27.50%,11.20%
"Romo, Sergio",2021,66,0,0,61.2,4.67,36.30%,37.50%,23.20%,8.10%
"Moran, Jovani",2022,31,0,0,40.2,2.21,36.20%,48.90%,32.90%,11.00%
"Hendriks, Liam",2022,58,0,0,57.2,2.81,36.20%,34.90%,36.20%,6.80%
"Romo, Sergio",2019,65,0,0,60.1,3.43,36.20%,36.10%,24.10%,6.80%
"Shreve, Chasen",2023,50,0,0,44.2,4.63,36.10%,45.50%,23.30%,7.30%
"Brothers, Rex",2021,57,0,0,53,5.26,36.10%,35.00%,31.80%,14.80%
"Adams, Austin",2021,65,0,0,52.2,4.1,36.00%,33.70%,31.50%,14.50%
"Britton, Zack",2019,66,0,0,61.1,1.91,35.90%,77.20%,21.60%,13.10%
"Jackson, Zach",2022,54,0,0,48,3,35.90%,26.80%,33.20%,16.30%
"Tepera, Ryan",2022,59,0,0,57.1,3.61,35.90%,41.00%,20.30%,8.60%
"Barnes, Matt",2019,70,0,0,64.1,3.78,35.90%,47.00%,38.60%,13.30%
"Fry, Jace",2019,68,0,0,55,4.75,35.90%,57.00%,27.10%,17.10%
"Albers, Matt",2019,67,0,0,59.2,5.13,35.90%,50.60%,22.10%,11.20%
"Almonte, Yency",2021,48,0,0,47.2,7.55,35.90%,42.60%,21.70%,13.40%
"Davis, Wade",2018,69,0,0,65.1,4.13,35.80%,41.60%,29.90%,10.00%
"Hirano, Yoshihisa",2019,62,0,0,53,4.75,35.80%,44.40%,26.20%,9.40%
"Shreve, Chasen",2021,57,0,0,56.1,3.2,35.70%,38.40%,19.10%,11.90%
"Williams, Devin",2022,65,0,0,60.2,1.93,35.50%,51.40%,40.00%,12.50%
"Stanek, Ryne",2022,59,0,0,54.2,1.15,35.20%,38.90%,27.70%,13.80%
"Williams, Devin",2023,61,0,0,58.2,1.53,35.20%,47.80%,37.70%,12.10%
"Alvarado, José",2022,59,0,0,51,3.18,35.20%,56.10%,37.90%,11.20%
"Richards, Trevor",2021,53,0,0,64.1,3.5,35.10%,27.70%,31.10%,8.80%
"Hughes, Jared",2019,72,0,0,71.1,4.04,35.00%,59.20%,18.70%,9.30%
"Coleman, Louis",2018,51,0,0,51.1,3.51,34.90%,40.10%,18.90%,11.10%
"Milner, Hoby",2022,67,0,0,64.2,3.76,34.90%,48.90%,23.50%,5.50%
"Peralta, Wandy",2022,56,0,0,56.1,2.72,34.80%,53.90%,21.10%,7.60%
"Peguero, Elvis",2023,59,0,0,61.1,3.38,34.80%,56.00%,21.40%,10.30%
"Chafin, Andrew",2022,64,0,0,57.1,2.83,34.40%,51.30%,27.60%,7.80%
"Shreve, Chasen",2018,60,0,0,52.2,3.93,34.30%,39.60%,26.40%,11.50%
"Leone, Dominic",2022,55,0,0,49.1,4.01,34.30%,38.90%,23.40%,10.80%
"McFarland, T.J.",2018,47,0,0,72,2,34.20%,67.90%,14.40%,7.50%
"Marshall, Evan",2019,55,0,0,50.2,2.49,34.20%,51.40%,19.60%,11.50%
"Leone, Dominic",2019,40,0,0,40.2,5.53,34.20%,36.40%,25.60%,12.20%
"Marinaccio, Ron",2022,40,0,0,44,2.05,34.10%,41.50%,30.90%,13.30%
"Luetge, Lucas",2022,50,0,0,57.1,2.67,34.10%,35.30%,23.90%,6.80%
"Feyereisen, J.P.",2021,55,0,0,56,2.73,34.10%,36.80%,22.60%,14.10%
"Sawamura, Hirokazu",2021,55,0,0,53,3.06,33.70%,51.80%,26.20%,13.70%
"Farmer, Buck",2022,44,0,0,47,3.83,33.70%,42.70%,27.10%,12.60%
"Ramirez, Nick",2019,46,0,0,79.2,4.07,33.60%,46.20%,21.30%,10.10%
"Wilson, Alex",2018,59,0,0,61.2,3.36,33.50%,49.20%,17.60%,6.10%
"Leclerc, José",2022,39,0,0,47.2,2.83,33.00%,29.20%,27.30%,10.60%
"Leclerc, José",2023,57,0,0,57,2.68,32.90%,29.40%,28.80%,12.00%
"McFarland, T.J.",2019,51,0,0,56,4.82,32.70%,61.10%,14.00%,8.00%
"Warren, Adam",2018,47,0,0,51.2,3.14,32.50%,37.60%,23.30%,9.00%
"Chafin, Andrew",2023,63,0,0,51.1,4.73,32.00%,38.50%,28.10%,12.50%
"Lange, Alex",2022,71,0,0,63.1,3.41,31.60%,55.60%,30.30%,11.40%
"Mayza, Tim",2019,68,0,0,51.1,4.91,30.60%,53.20%,24.20%,11.90%
"Lange, Alex",2023,67,0,0,66,3.68,30.50%,50.60%,27.40%,15.60%
"Peralta, Wandy",2023,63,0,0,54,2.83,29.70%,57.40%,22.50%,13.20%
